device,matrix_size,time_s
cpu,4,1.8001999706029892e-06
mps,4,0.00022016680013621227
cpu,8,1.274599344469607e-06
mps,8,0.00020878360082861037
cpu,16,2.9418006306514144e-06
mps,16,0.00023753300338285043
cpu,32,2.224999479949474e-06
mps,32,0.0002303497996763326
cpu,64,2.416600182186812e-06
mps,64,0.0002630000002682209
cpu,128,6.391599890775979e-06
mps,128,0.00022431679826695472
cpu,256,3.094979911111295e-05
mps,256,0.0002982919992064126
cpu,512,0.00019893359858542682
mps,512,0.0010211418004473672
cpu,1024,0.002071341399278026
mps,1024,0.0031346415998996235
cpu,2048,0.01583058319956763
mps,2048,0.007776583201484754
cpu,4096,0.1250152997978148
mps,4096,0.05814234159770422
