2025-09-05 11:49:04,517 INFO    MainThread:5804 [wandb_setup.py:_flush():80] Current SDK version is 0.21.1
2025-09-05 11:49:04,518 INFO    MainThread:5804 [wandb_setup.py:_flush():80] Configure stats pid to 5804
2025-09-05 11:49:04,518 INFO    MainThread:5804 [wandb_setup.py:_flush():80] Loading settings from /Users/advaitdesai/.config/wandb/settings
2025-09-05 11:49:04,518 INFO    MainThread:5804 [wandb_setup.py:_flush():80] Loading settings from /Users/advaitdesai/Programming/eklavya/arhan_execute/wandb/settings
2025-09-05 11:49:04,518 INFO    MainThread:5804 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-09-05 11:49:04,518 INFO    MainThread:5804 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /Users/advaitdesai/Programming/eklavya/arhan_execute/wandb/run-20250905_114904-hwh4bf9d/logs/debug.log
2025-09-05 11:49:04,518 INFO    MainThread:5804 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /Users/advaitdesai/Programming/eklavya/arhan_execute/wandb/run-20250905_114904-hwh4bf9d/logs/debug-internal.log
2025-09-05 11:49:04,518 INFO    MainThread:5804 [wandb_init.py:init():830] calling init triggers
2025-09-05 11:49:04,518 INFO    MainThread:5804 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'env_id': 'Ant-v5', 'num_envs': 16, 'steps_per_env': 2048, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_eps': 0.2, 'learning_rate': 0.0003, 'epochs': 10, 'num_minibatches': 32, 'device': 'cpu', 'total_timesteps': 10000000, '_wandb': {}}
2025-09-05 11:49:04,518 INFO    MainThread:5804 [wandb_init.py:init():871] starting backend
2025-09-05 11:49:04,747 INFO    MainThread:5804 [wandb_init.py:init():874] sending inform_init request
2025-09-05 11:49:04,770 INFO    MainThread:5804 [wandb_init.py:init():882] backend started and connected
2025-09-05 11:49:04,771 INFO    MainThread:5804 [wandb_init.py:init():953] updated telemetry
2025-09-05 11:49:04,781 INFO    MainThread:5804 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-09-05 11:49:05,623 INFO    MainThread:5804 [wandb_init.py:init():1029] starting run threads in backend
2025-09-05 11:49:05,717 INFO    MainThread:5804 [wandb_run.py:_console_start():2494] atexit reg
2025-09-05 11:49:05,717 INFO    MainThread:5804 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-09-05 11:49:05,717 INFO    MainThread:5804 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-09-05 11:49:05,717 INFO    MainThread:5804 [wandb_run.py:_redirect():2434] Redirects installed.
2025-09-05 11:49:05,718 INFO    MainThread:5804 [wandb_init.py:init():1075] run started, returning control to user process
2025-09-05 11:49:11,119 INFO    MsgRouterThr:5804 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
