#{"t_start": 1756622989.90913, "env_id": "None"}
r,l,t
105.059504,176,1.054603
103.048487,171,1.096672
97.521967,170,1.13824
104.303529,173,1.180186
96.873974,164,1.221518
83.602391,150,1.256317
100.811649,176,1.297946
102.849054,176,1.342289
101.729773,172,1.385801
94.928147,157,1.424587
97.69176,168,1.464149
95.757497,163,1.502737
96.257247,167,1.996139
99.145411,162,2.033873
95.229719,173,2.075998
98.87256,166,2.115434
99.568114,171,2.156283
95.302299,168,2.195987
93.889248,177,2.237549
100.894833,165,2.277046
99.518097,169,2.316848
97.447191,166,2.355177
94.507231,159,2.393876
104.124162,171,2.434292
100.014279,169,2.795553
95.499113,167,2.83526
108.045154,177,2.876373
97.198538,166,2.917086
98.770916,165,2.956558
96.222044,167,2.996845
95.074351,160,3.034581
104.831732,174,3.07529
92.492949,157,3.112877
102.181876,171,3.153726
98.350141,170,3.194889
101.492137,170,3.236423
91.906884,159,3.621212
96.958587,168,3.663612
96.13125,167,3.703873
92.149251,158,3.742775
106.375432,174,3.78405
94.745599,156,3.821069
98.002566,164,3.860567
96.979837,172,3.900656
100.918587,171,3.942173
94.039818,152,3.977354
101.094031,172,4.017314
103.400218,179,4.061032
89.594846,158,4.415221
106.242067,175,4.45726
89.053109,163,4.497924
98.743999,174,4.539675
91.058927,163,4.57934
96.743724,164,4.618697
105.88878,174,4.65958
102.864623,171,4.701801
92.047482,157,4.738978
91.853408,156,4.775564
99.102358,172,4.818566
107.018204,174,4.859384
101.926904,165,4.899123
100.283029,169,5.257788
91.300562,166,5.297649
92.129339,164,5.33804
99.974029,169,5.378263
94.807911,167,5.417408
96.051494,166,5.459137
103.113748,172,5.500495
109.93908,179,5.545005
105.374584,168,5.585567
105.676885,177,5.628128
100.611798,179,5.673285
105.30312,170,5.713932
99.226757,164,6.073637
103.628393,171,6.114659
103.194808,171,6.158188
113.053633,180,6.205311
101.573025,164,6.244559
96.128498,158,6.282377
100.425724,170,6.323229
98.412145,166,6.362509
102.755613,177,6.406222
105.327366,175,6.447847
103.413133,171,6.489872
103.891699,180,6.53407
104.287587,170,6.937442
107.269676,173,6.98069
99.910585,162,7.021232
102.853608,168,7.06131
103.08686,175,7.103573
95.232093,160,7.303324
104.897802,179,7.400667
101.107902,171,7.456216
100.537005,169,7.502133
107.149949,181,7.55326
96.987557,173,7.602204
102.259731,160,7.644269
100.922664,170,8.014445
99.518806,176,8.058394
100.453154,165,8.099558
102.148928,180,8.14297
99.945689,172,8.184985
101.849562,177,8.228038
98.208248,164,8.269758
103.461288,173,8.31351
105.647743,173,8.40854
98.377991,175,8.453365
103.545127,168,8.493664
99.456956,166,8.536051
101.694754,181,8.920103
109.758321,176,8.9626
111.104003,188,9.007787
101.820222,163,9.048219
98.141002,167,9.08803
100.485173,175,9.13559
105.267457,192,9.185036
108.76526,179,9.235558
105.306542,174,9.279737
106.538669,175,9.322228
103.437714,180,9.367564
105.48086,176,9.736392
106.751615,184,9.782306
109.399543,179,9.825793
110.715104,178,9.868178
106.519836,170,9.909703
105.736319,172,9.950248
108.884037,175,9.99353
106.403909,172,10.034165
104.769794,171,10.075154
109.56482,181,10.122901
101.536457,176,10.166827
100.266302,171,10.209406
107.451503,171,10.58
113.351099,184,10.626476
101.929038,176,10.667979
102.830326,170,10.708673
115.397173,183,10.753553
101.878434,170,10.793466
96.071844,158,10.831467
110.090895,175,10.87422
107.875338,170,10.914824
99.35103,171,10.957854
104.209813,175,11.000051
102.42957,184,11.045522
110.167463,177,11.419268
111.165622,181,11.465801
108.317376,171,11.507766
114.645635,186,11.552981
105.841595,182,11.598135
112.515246,184,11.64238
109.613065,179,11.686165
110.489213,172,11.72722
113.470239,189,11.773899
100.400652,173,11.816667
110.717973,184,11.860958
98.811847,166,12.21849
102.502471,166,12.258211
104.3052,173,12.29935
104.169966,166,12.340241
109.734208,177,12.381683
111.968085,181,12.426333
110.34863,175,12.469026
110.011533,177,12.511875
110.161277,182,12.556583
107.197023,184,12.600835
109.584067,187,12.647139
106.64729,179,12.690726
102.790661,184,13.050658
116.510743,203,13.0997
111.658179,185,13.144025
106.621662,172,13.186912
115.902553,180,13.230109
104.14958,187,13.276725
107.620366,181,13.321485
114.639317,183,13.366475
111.48744,187,13.412577
112.614185,179,13.455415
