episode,r,l
1,108.44773898387957,298.0
2,122.67926540615349,321.0
3,147.1689602005863,381.0
4,208.62711067503338,390.0
5,185.50080055281288,352.0
6,227.2626745945465,630.0
7,379.18159775145784,1000.0
8,182.743955308686,377.0
9,209.48077932749675,498.0
10,105.49873743551062,269.0
11,216.3402735508962,432.0
12,122.57655705923884,305.0
13,133.30729855045124,311.0
14,173.86531463432013,461.0
15,119.18755427285646,309.0
16,412.0503612791489,958.0
17,160.97970549193803,367.0
18,114.66990774560352,299.0
19,149.88138507935105,375.0
20,140.59374150151012,405.0
21,239.56250725523995,614.0
22,192.72604058867117,414.0
23,98.13094103608215,236.0
24,141.09158171303534,351.0
25,239.55826421839024,556.0
26,201.63580046371908,488.0
27,198.53395517570314,530.0
28,197.76889419947128,480.0
29,190.80237551605657,452.0
30,354.8887336049442,701.0
31,236.11042883442474,443.0
32,199.42269311126626,477.0
33,261.43375734593053,528.0
34,134.51804382786486,358.0
35,184.49925540274825,526.0
36,130.0474654019275,313.0
37,127.91794558790991,385.0
38,247.13685312017978,567.0
39,170.85581347122016,365.0
40,143.4356215355313,356.0
41,114.90948439072434,333.0
42,123.20967702903351,347.0
43,165.48643668401297,371.0
44,122.43873956947631,331.0
45,154.6883114376627,276.0
46,139.6812513250479,347.0
47,87.90940463171417,205.0
48,286.48897890646265,545.0
49,247.2514100410018,541.0
50,235.84960317176095,544.0
51,185.89567512040895,470.0
52,226.32233880969395,514.0
53,469.6091676868859,804.0
54,252.14668966074385,572.0
55,180.81183428368175,308.0
56,129.65161524600666,227.0
57,316.6271646842811,698.0
58,135.56127066161983,346.0
59,324.7011044053911,694.0
60,114.25182284430448,311.0
61,310.78870478895095,581.0
62,155.00669837434893,388.0
63,150.1731326794902,358.0
64,251.9224607402067,714.0
65,122.96516803977748,290.0
66,309.7167858669273,529.0
67,150.00723531584293,356.0
68,115.10784164686001,308.0
69,208.6137993107637,424.0
70,216.11836432736362,350.0
71,269.1986663622672,526.0
72,294.02320189089085,649.0
73,219.91993282401864,478.0
74,121.06892697344432,319.0
75,165.40340092107573,423.0
76,354.4505003210159,721.0
77,101.91813673868499,254.0
78,146.07216781482916,399.0
79,172.26993878005138,336.0
80,146.59997841314342,363.0
81,114.42749258589275,292.0
82,211.788813389426,402.0
83,270.9213690088434,635.0
84,94.88615146946718,249.0
85,112.22833108289753,271.0
86,119.56544543549691,332.0
87,133.2431592533082,340.0
88,185.52494641253753,318.0
89,103.09933884234087,241.0
90,396.17635299836564,795.0
91,211.1517546604105,470.0
92,129.65566509779816,309.0
93,275.34045125341515,500.0
94,183.46275821203963,418.0
95,412.43013857748116,856.0
96,208.3347222714056,348.0
97,153.7500711058049,387.0
98,104.32904202670096,289.0
99,108.0308432773078,310.0
100,181.15814366025754,445.0
101,207.52010536496422,389.0
102,124.81250106961193,329.0
103,243.1068765670781,460.0
104,139.336577845755,351.0
105,232.57519697875378,402.0
106,138.05669499131426,333.0
107,150.61768983041685,310.0
108,233.03196557303153,517.0
109,196.84796247456603,415.0
110,145.1053474950263,365.0
111,213.07859733317517,436.0
112,167.52751946608203,355.0
113,177.1414467097966,413.0
114,140.44319153562014,395.0
115,327.16530199567813,695.0
116,208.0848567863106,346.0
117,162.3773675149355,329.0
118,191.45308172751047,321.0
119,329.8848723992699,615.0
120,395.18084294550084,970.0
121,117.79617457945828,307.0
122,223.05198078812364,552.0
123,244.10474673055535,408.0
124,140.49454396853244,362.0
125,290.8686247482682,551.0
126,369.9295015616699,844.0
127,361.7277917939054,745.0
128,107.4468476997041,276.0
129,215.21703834222583,358.0
130,103.8773622426171,258.0
131,139.45635914457915,344.0
132,109.35290138058268,267.0
133,223.4120169233541,399.0
134,113.07630211182219,291.0
135,155.418480629285,287.0
136,207.66220296419237,357.0
137,203.916433204395,553.0
138,107.93425734568811,281.0
139,249.01194327442607,585.0
140,88.80181877504778,209.0
141,141.37402579919768,354.0
142,240.56531106557745,553.0
143,240.14291152657762,454.0
144,254.73103906917765,486.0
145,241.14388430032787,463.0
146,145.18311624815442,315.0
147,182.83994015901385,497.0
148,524.8081821226702,1001.0
149,103.47881119509395,250.0
150,234.92283458723884,524.0
151,181.93938244544267,398.0
152,229.51978594921204,486.0
153,393.84152615461596,666.0
154,104.07435116446685,270.0
155,130.64482539602022,336.0
156,200.84397277914826,376.0
157,256.93871786529917,567.0
158,190.73900890173488,379.0
159,132.33542595277962,343.0
160,364.8989176495051,775.0
161,133.3062106258621,321.0
162,207.16106473348637,376.0
163,231.65718747040623,570.0
164,228.14503164965575,485.0
165,328.4833542904739,732.0
166,108.91810298784902,283.0
167,154.882735459502,266.0
168,105.30554934039488,274.0
169,113.24008508142393,300.0
170,221.1264822210579,500.0
171,164.8006364699344,302.0
172,185.42575672762501,485.0
173,161.34936364326364,309.0
174,163.71651537253064,324.0
175,104.80733213176975,276.0
176,182.2277331509171,320.0
177,344.5955657702488,758.0
178,174.09312126268517,471.0
179,409.89569851658234,836.0
180,254.37219891654638,517.0
181,175.92070780223793,316.0
182,189.24975521146752,534.0
183,396.4414161654158,827.0
184,175.01803996281362,331.0
185,256.1223630876807,504.0
186,232.48319806138113,446.0
187,218.708157320639,405.0
188,103.02815019418274,279.0
189,160.59486868943117,296.0
190,308.2883322636371,842.0
191,215.92418466259295,518.0
192,393.1093612299903,836.0
193,137.97122085969568,356.0
194,370.7266959551364,821.0
195,102.13406153662548,287.0
196,162.09510631603126,353.0
197,187.61195669045637,324.0
198,327.06795272109355,639.0
199,233.7908156041757,542.0
200,111.43215502991471,282.0
201,191.10200603774175,363.0
202,154.59987197015593,416.0
203,178.08702217771534,344.0
204,202.97854641895316,386.0
205,422.5691689383352,923.0
206,182.5722758204005,344.0
207,432.65381457367187,963.0
208,122.97994868881463,282.0
209,149.1658716601495,382.0
210,262.32886887853306,435.0
